name,slug,region,location,homepage,status,lat,lng,soundtap_url
WPKN,wpkn,North America,,,,41.166706,-73.190237,http://soundtap.com/wpkn/
WPRB,wprb,North America,,,,40.343006,-74.655955,http://soundtap.com/wprb/
WPRK,wprk,North America,,,,28.594722,-81.335068,http://soundtap.com/wprk/
WPSC,wpsc,North America,,,,40.996209,-74.280426,http://soundtap.com/wpsc/
WPTS,wpts,North America,,,,40.444378,-79.953385,http://soundtap.com/wpts/
WPUB,wpub,North America,,,,40.7143528,-74.0059731,http://soundtap.com/wpub/
WQAQ,wqaq,North America,,,,41.419383,-72.895489,http://soundtap.com/wqaq/
WQHS,wqhs,North America,,,,39.948972,-75.189583,http://soundtap.com/wqhs/
WRAS,wras,North America,,,,33.7489954,-84.3879824,http://soundtap.com/wras/
WRBB,wrbb,North America,,,,42.339403,-71.087548,http://soundtap.com/wrbb/
WRBC,wrbc,North America,,,,41.877415,-87.636574,http://soundtap.com/wrbc/
WRBC Radio,wrbcradio,North America,,,,44.105073,-70.208388,http://soundtap.com/wrbcradio/
WRCT,wrct,North America,,,,40.443095,-79.942541,http://soundtap.com/wrct/
WREK,wrek,North America,,,,33.773465,-84.397745,http://soundtap.com/wrek/
WRFA-LP,wrfalp,North America,,,,42.097696,-79.243193,http://soundtap.com/wrfalp/
WRFL,wrfl,North America,,,,38.0405837,-84.5037164,http://soundtap.com/wrfl/
WRGP,wrgp,North America,,,,25.756377,-80.372651,http://soundtap.com/wrgp/
WRGW,wrgw,North America,,,,38.900272,-77.04706,http://soundtap.com/wrgw/
WRIR,wrir,North America,,,,37.554533,-77.457152,http://soundtap.com/wrir/
WRIU,wriu,North America,,,,41.484992,-71.529831,http://soundtap.com/wriu/
WRMC,wrmc,North America,,,,44.015329,-73.167351,http://soundtap.com/wrmc/
WRPI,wrpi,North America,,,,42.729288,-73.679504,http://soundtap.com/wrpi/
WRPN,wrpn,North America,,,,43.843466,-88.842206,http://soundtap.com/wrpn/
WRRG,wrrg,North America,,,,41.9258642,-87.8358943,http://soundtap.com/wrrg/
WRST,wrst,North America,,,,44.029459,-88.552283,http://soundtap.com/wrst/
WRTU,wrtu,North America,,,,18.405678,-66.050721,http://soundtap.com/wrtu/
WRUB,wrub,North America,,,,42.978333,-78.8,http://soundtap.com/wrub/
WRUF,wruf,North America,,,,29.647725,-82.347308,http://soundtap.com/wruf/
WRUR,wrur,North America,,,,43.122477,-77.624257,http://soundtap.com/wrur/
WRUV,wruv,North America,,,,44.4758825,-73.212072,http://soundtap.com/wruv/
WRUW,wruw,North America,,,,41.49932,-81.6943605,http://soundtap.com/wruw/
WRVU,wrvu,North America,,,,36.1626638,-86.7816016,http://soundtap.com/wrvu/
WSBF,wsbf,North America,,,,34.678439,-82.820698,http://soundtap.com/wsbf/
WSBU,wsbu,North America,,,,42.079902,-78.484521,http://soundtap.com/wsbu/
WSCA,wsca,North America,,,,43.0717552,-70.7625532,http://soundtap.com/wsca/
WSIA,wsia,North America,,,,40.597604,-74.114309,http://soundtap.com/wsia/
WSNC,wsnc,North America,,,,36.093471,-80.23116,http://soundtap.com/wsnc/
WSOE,wsoe,North America,,,,36.10512,-79.504607,http://soundtap.com/wsoe/
WSOU,wsou,North America,,,,40.7489277,-74.2609903,http://soundtap.com/wsou/
WSPC,wspc,North America,,,,40.881451,-74.045265,http://soundtap.com/wspc/
WSPN,wspn,North America,,,,43.098668,-73.78683,http://soundtap.com/wspn/
WSUM,wsum,North America,,,,43.0730517,-89.4012302,http://soundtap.com/wsum/
WSUP,wsup,North America,,,,42.732261,-90.485802,http://soundtap.com/wsup/
WSYC,wsyc,North America,,,,40.0506453,-77.5202647,http://soundtap.com/wsyc/
WTBU,wtbu,North America,,,,42.348833,-71.10177,http://soundtap.com/wtbu/
WTIP,wtip,North America,,,,47.6051056,-90.4931767,http://soundtap.com/wtip/
WTJU,wtju,North America,,,,38.041847,-78.503484,http://soundtap.com/wtju/
WTMD,wtmd,North America,,,,39.2903848,-76.6121893,http://soundtap.com/wtmd/
WTND,wtnd,North America,,,,40.4592076,-90.6717971,http://soundtap.com/wtnd/
WTRE,wtre,North America,,,,39.952335,-75.163789,http://soundtap.com/wtre/
WTSR,wtsr,North America,,,,40.27021,-74.779698,http://soundtap.com/wtsr/
WTUL,wtul,North America,,,,29.939464,-90.119957,http://soundtap.com/wtul/
WUAG,wuag,North America,,,,36.068006,-79.805658,http://soundtap.com/wuag/
WUEV,wuev,North America,,,,37.973375,-87.530014,http://soundtap.com/wuev/
WUMB,wumb,North America,,,,42.319669,-71.047165,http://soundtap.com/wumb/
WUMD,wumd,North America,,,,42.288421,-83.737149,http://soundtap.com/wumd/
WUMM,wumm,North America,,,,44.7150789,-67.461376,http://soundtap.com/wumm/
WUMR,wumr,North America,,,,35.1495343,-90.0489801,http://soundtap.com/wumr/
WUNC,wunc,North America,,,,35.9131996,-79.0558445,http://soundtap.com/wunc/
WUNH,wunh,North America,,,,43.134369,-70.930223,http://soundtap.com/wunh/
WUOG,wuog,North America,,,,33.95,-83.383333,http://soundtap.com/wuog/
WUPX,wupx,North America,,,,46.556565,-87.401314,http://soundtap.com/wupx/
WUSB,wusb,North America,,,,40.914234,-73.116266,http://soundtap.com/wusb/
WUSC,wusc,North America,,,,34.000711,-81.021758,http://soundtap.com/wusc/
WUSO,wuso,North America,,,,39.935893,-83.811873,http://soundtap.com/wuso/
WUTK,wutk,North America,,,,35.952677,-83.926364,http://soundtap.com/wutk/
WUVT,wuvt,North America,,,,37.229688,-80.417873,http://soundtap.com/wuvt/
WVAU,wvau,North America,,,,38.8951118,-77.0363658,http://soundtap.com/wvau/
WVBR,wvbr,North America,,,,42.4439614,-76.5018807,http://soundtap.com/wvbr/
WVCP,wvcp,North America,,,,36.362112,-86.497498,http://soundtap.com/wvcp/
WVEW,wvew,North America,,,,42.852966,-72.558106,http://soundtap.com/wvew/
WVFS,wvfs,North America,,,,30.440007,-84.291303,http://soundtap.com/wvfs/
WVKR,wvkr,North America,,,,41.7003713,-73.9209701,http://soundtap.com/wvkr/
WVTC,wvtc,North America,,,,43.936975,-72.603589,http://soundtap.com/wvtc/
WVUD,wvud,North America,,,,39.676914,-75.74986,http://soundtap.com/wvud/
WVUM,wvum,North America,,,,25.759377,-80.381619,http://soundtap.com/wvum/
WVYC,wvyc,North America,,,,39.946435,-76.728293,http://soundtap.com/wvyc/
WWEC,wwec,North America,,,,40.1528719,-76.6027455,http://soundtap.com/wwec/
WWHR,wwhr,North America,,,,36.983375,-86.456658,http://soundtap.com/wwhr/
WWOZ,wwoz,North America,,,,29.959004,-90.060328,http://soundtap.com/wwoz/
WWVU U92,wwvuu92,North America,,,,39.6348202,-79.9535637,http://soundtap.com/wwvuu92/
WXAC,wxac,North America,,,,40.403733,-75.940518,http://soundtap.com/wxac/
WXAV,wxav,North America,,,,41.710867,-87.714495,http://soundtap.com/wxav/
WXCU,wxcu,North America,,,,39.9611755,-82.9987942,http://soundtap.com/wxcu/
WXDU,wxdu,North America,,,,36.008981,-78.917388,http://soundtap.com/wxdu/
WXOJ,wxoj,North America,,,,42.335505,-72.6719853,http://soundtap.com/wxoj/
WXOU,wxou,North America,,,,42.680588,-83.1338214,http://soundtap.com/wxou/
WXOX,wxox,North America,,,,38.2526647,-85.7584557,http://soundtap.com/wxox/
